0;10;PopUpMenu
0;1;PopUpMenu
0;3;PopUpMenu
1;3;Suite
1;5;Suite
1;7;Suite
1;9;Suite
1;10;Suite
2;10;GODLModel
2;4;GODLModel
2;6;GODLModel
2;7;GODLModel
2;2;GODLModel
2;5;GODLModel
2;8;GODLModel
2;9;GODLModel
2;1;GODLModel
2;3;GODLModel
3;10;RuleSet
3;3;RuleSet
3;5;RuleSet
3;7;RuleSet
3;9;RuleSet
3;2;RuleSet
3;4;RuleSet
3;6;RuleSet
3;8;RuleSet
3;1;RuleSet
4;10;Playground
4;2;Playground
4;3;Playground
4;4;Playground
4;5;Playground
4;6;Playground
4;7;Playground
4;8;Playground
4;9;Playground
4;1;Playground
5;10;ButtonsToolBar
5;2;ButtonsToolBar
5;1;ButtonsToolBar
5;3;ButtonsToolBar
5;4;ButtonsToolBar
5;5;ButtonsToolBar
5;6;ButtonsToolBar
5;7;ButtonsToolBar
5;8;ButtonsToolBar
5;9;ButtonsToolBar
6;10;ModelObservable
6;1;ModelObservable
6;2;ModelObservable
6;3;ModelObservable
6;4;ModelObservable
6;5;ModelObservable
6;6;ModelObservable
6;7;ModelObservable
6;8;ModelObservable
6;9;ModelObservable
7;10;PlaygroundPanel
7;1;PlaygroundPanel
7;2;PlaygroundPanel
7;3;PlaygroundPanel
7;4;PlaygroundPanel
7;5;PlaygroundPanel
7;6;PlaygroundPanel
7;7;PlaygroundPanel
7;8;PlaygroundPanel
7;9;PlaygroundPanel
8;10;PlaygroundMouseAdapter
8;1;PlaygroundMouseAdapter
8;2;PlaygroundMouseAdapter
8;3;PlaygroundMouseAdapter
8;4;PlaygroundMouseAdapter
8;5;PlaygroundMouseAdapter
8;6;PlaygroundMouseAdapter
8;7;PlaygroundMouseAdapter
8;8;PlaygroundMouseAdapter
8;9;PlaygroundMouseAdapter
9;10;ModelObserver
9;1;ModelObserver
9;2;ModelObserver
9;3;ModelObserver
9;4;ModelObserver
9;5;ModelObserver
9;6;ModelObserver
9;7;ModelObserver
9;8;ModelObserver
9;9;ModelObserver
10;10;Main
10;1;Main
10;2;Main
10;3;Main
10;4;Main
10;5;Main
10;6;Main
10;7;Main
10;8;Main
10;9;Main
11;10;LifeFormIterator
11;1;LifeFormIterator
11;2;LifeFormIterator
11;3;LifeFormIterator
11;4;LifeFormIterator
11;5;LifeFormIterator
11;6;LifeFormIterator
11;7;LifeFormIterator
11;8;LifeFormIterator
11;9;LifeFormIterator
12;10;LifeForm
12;1;LifeForm
12;2;LifeForm
12;3;LifeForm
12;4;LifeForm
12;5;LifeForm
12;6;LifeForm
12;7;LifeForm
12;8;LifeForm
12;9;LifeForm
13;10;GolView
13;1;GolView
13;2;GolView
13;3;GolView
13;4;GolView
13;5;GolView
13;6;GolView
13;7;GolView
13;8;GolView
13;9;GolView
14;10;GenerationScheduler
14;1;GenerationScheduler
14;2;GenerationScheduler
14;3;GenerationScheduler
14;4;GenerationScheduler
14;5;GenerationScheduler
14;6;GenerationScheduler
14;7;GenerationScheduler
14;8;GenerationScheduler
14;9;GenerationScheduler
